Dụng cụ vệ sinh thiết bị,Số đương lượng,Lưu lượng nước (l/s),Đường kính ống (mm)
1,2,3,4
&nbsp;&nbsp;\- Vòi nước của chậu trút nước thải<br>&nbsp;&nbsp;\- Vòi nước ở chậu rửa mặt<br>&nbsp;&nbsp;\- Vòi nớc ở chậu tiểu treo<br>&nbsp;&nbsp;\- Một mét ống rửa máng tiểu<br>&nbsp;&nbsp;\- Vòi xả ở chậu xí<br>&nbsp;&nbsp;\- Vòi xả ở chậu xí<br>&nbsp;&nbsp;\- Vòi trộn nước nóng lạnh của bồn tắm dùng nước nóng tập trung<br>&nbsp;&nbsp;\- Vòi trộn nước nóng lạnh của bồn tắm có thiết bị đun nước bằng điện<br>&nbsp;&nbsp;\- Một vòi của chậu giặt chậu rửa<br>&nbsp;&nbsp;\- Chậu vệ sinh phụ nữ (biđê và vòi phun của chậu)<br>&nbsp;&nbsp;\- Một vòi tắm hương sen trong nhóm thiết bị vệ sinh<br>&nbsp;&nbsp;\- Một vòi tắm hương sen đặt trong căn hộ<br>&nbsp;&nbsp;\- Một vòi tắm hương sen ở bể bơi<br>&nbsp;&nbsp;\- Một vòi nước nóng<br>&nbsp;&nbsp;\- Vòi nước ở chậu trút nước thải trong phòng thí nghiệm<br>&nbsp;&nbsp;\- Vòi ở chậu rửa trong phòng<br>&nbsp;&nbsp;\- Vòi tưới,"1<br>0,33<br>0,17<br>0,3<br>Từ 6 đến 7<br>0,5<br>1,5<br>1<br>1<br>0,35<br>1<br>0,67<br>1<br>0,17<br>0,5<br>1<br>Từ 1,5 đến 2,5","0,2<br>0,07<br>0,035<br>0,06<br>Từ 1,2 đến 1,4<br>0,1<br>0,3<br>0,2<br>0,2<br>0,07<br>0,2<br>0,14<br>0,2<br>0,035<br>0,1<br>0,2<br>Từ 0,3 đến 0,5",Từ 10 đến 15<br>Từ 10 đến 15<br>Từ 10 đến 15<br>Từ 10 đến 15<br>Từ 25 đến 32<br>Từ 10 đến 15<br>15<br>15<br>15<br>Từ 10 đến 15<br>15<br>15<br>15<br>Từ 10 đến 15<br>Từ 10 đến 15<br>15<br>Từ 20 đến 25
