Tính chất của ngôi nhà và công trình,Chiều cao cần thiết của cột nước phun dày đặc (m)
"Nhà ở công trình công cộng, nhà phụ có bậc chịu lửa I, II",6
"Nhà ở, công trình công cộng, nhà phụ và nhà sản xuất có sử dụng vật liệu dễ cháy và dễ gây ra cháy",Chiều cao cần thiết để có thể phun đến một điểm cao nhất và xa nhất của ngôi nhà nhưng không được thấp hơn 6m.
