Loại phòng,Diện tích<br>($m^{2}$/phòng)
01 giường,từ 9 đến 12
02 giường,từ 15 đến 18
03 giường,từ 18 đến 20
04 giường,từ 24 đến 28
05 giường,từ 32 đến 36
