Loại phòng,Diện tích<br>($m^{2}$/phòng)
"1. Phòng khám (01 ghế), $m^{2}$/ghế khám",12
"2. Phòng điều trị: chỗ tiêm, thay băng, làm thuốc",từ 24 đến 30
"3. Chỗ rửa hấp, sấy, chuẩn bị dụng cụ",từ 12 đến 18
