"Tên khoa, phòng",Diện tích<br>($m^{2}$/phòng)
1. Phòng thăm dò chức năng tiêu hóa (có chỗ thủ thuật vô khuẩn và chuẩn bị),từ 36 đến 48
2. Phòng thăm dò chức năng tiết niệu (có chỗ thủ thuật vô khuẩn và chuẩn bị),từ 36 đến 48
3. Phòng thăm dò chức năng tim mạch,từ 24 đến 36
4. Phòng điện não,từ 24 đến 32
5. Phòng điện cơ,từ 24 đến 36
"6, Phòng lưu huyết não",từ 24 đến 32
"7. Phòng thăm dò chức năng hô hấp, đo chuyển hóa cơ bản và cân đo",từ 24 đến 36
8. Phòng thăm dò chức năng thận tiết niệu,từ 24 đến 36
"9. Thử, đo lượng đường máu và nước tiểu",từ 24 đến 36
10. Phòng thăm dò chức năng thần kinh,từ 24 đến 36
"11. Phòng dị ứng, miễn dịch",từ 24 đến 36
12. Hành chính khoa,từ 45 đến 54
13. Sinh viên thực tập,36
