"Tên khoa, phòng",Diện tích tối thiểu<br>($m^{2}$/phòng)
**Khu vực sản xuất**,
1. Phòng rửa hấp,
&nbsp;&nbsp;\- Chỗ thu chai lọ,từ 15 đến 24
"&nbsp;&nbsp;\- Chỗ ngâm, rửa",tù 18 đến 24
"&nbsp;&nbsp;\- Chỗ sấy, hấp",từ 12 đến 18
2. Các phòng pha chế tân dược,
&nbsp;&nbsp;\- Phòng cất nước,từ 6 đến 12
&nbsp;&nbsp;\- Phòng pha thuốc nước,từ 15 đến 24
&nbsp;&nbsp;\- Phòng pha chế các loại thuốc khác,từ 9 đến 18
&nbsp;&nbsp;\- Phòng kiểm nghiệm,từ 15 đến 18
&nbsp;&nbsp;\- Phòng soi dán nhãn,từ 9 đến 12
"3. Các phòng bào chế tân, đông dược",
&nbsp;&nbsp;\- Phòng chứa vật liệu tươi,từ 24 đến 36
"&nbsp;&nbsp;\- Chỗ ngâm, rửa, xát",Tùy thuộc vào điều kiện cụ thể
"&nbsp;&nbsp;\- Chỗ hong phơi, sấy",Tùy thuộc vào điều kiện cụ thể
4. Phòng chế dược liệu khô,
&nbsp;&nbsp;\- Xay tán,từ 9 đến 15
"&nbsp;&nbsp;\- Luyện hoàn đóng gói, bốc thuốc",từ 24 đến 36
"&nbsp;&nbsp;\- Bếp sắc thuốc, nấu cao",từ 9 đến 15
&nbsp;&nbsp;\- Kho thành phẩm tạm thời,từ 9 đến 15
"Khu vực bảo quản, cấp phát",
1. Quầy cấp phát,
&nbsp;&nbsp;\- Chỗ đợi,từ 9 đến 12
&nbsp;&nbsp;\- Quầy phát thuốc,từ 18 đến 24
2. Kho dược,từ 32 đến 45
3. Kho - phòng lạnh,từ 15 đến 18
"4. Kho bông băng y tế, dụng cụ y tế",từ 36 đến 45
5. Kho dự trữ dụng cụ y tế,từ 32 đến 36
6. Kho phế liệu,từ 9 đến 12
"**Các phòng hành chính, sinh hoạt**",
1. Phòng trưởng khoa,18
"2. Phòng thống kê, kế toán",từ 18 đến 24
3. Phòng sinh hoạt,từ 18 đến 32
"4. Khu vệ sinh, thay quần áo nhân viên (nam/nữ)",24 x 02 khu
