Loại phòng,Diện tích<br>($m^{2}$)
1. Quầy bán thuốc,18
2. Quầy tạp hóa,24
3. Quầy giải khát,36
"4. Quầy sách báo, tem thư, điện thoại",18
5. Cửa hàng ăn uống (nếu có),Kết hợp với khoa Dinh dưỡng của bệnh viện
6. Nhà trọ cho người nhà trông nom bệnh nhân,Tính theo tỷ lệ bệnh nhân cấp cứu và bệnh nhân nặng. Tiêu chuẩn diện tích 6 $m^{2}$/giường trọ
