Loại phòng,Diện tích<br>($m^{2}$)
1. Phòng họp giao ban,từ 48 đến 60
"2. Phòng Đảng, Đoàn thể",từ 18 đến 24
3. Phòng Kế hoạch tổng hợp,từ 24 đến 36
4. Phòng Tổ chức cán bộ,từ 24 đến 36
5. Phòng Tài chính - kế toán,từ 24 đến 36
6. Phòng Y tá điều dưỡng,từ 24 đến 36
7. Phòng Hành chính - quản trị,từ 36 đến 48
8. Phòng lưu trữ hồ sơ,từ 36 đến 45
"9. Phòng vật tư, trang thiết bị y tế",từ 24 đến 36
10. Phòng đào tạo và nghiên cứu khoa học,từ 24 đến 36
11. Phòng tổng đài,từ 9 đến 12
"12. Thư viện, phòng đọc",từ 75 đến 90
13. Trung tâm thông tin - điện tử (nếu có),từ 21 đến 36
