Loại phòng,Diện tích<br>($m^{2}$/phòng)
"1. Phòng khám, bắt mạch",từ 15 đến 18
"2. Phòng xoa bóp, day bấm huyệt",từ 18 đến 36
3. Phòng châm cứu,từ 18 đến 36
"4. Chỗ rửa hấp, sấy, chuẩn bị dụng cụ",từ 12 đến 18
"5. Phòng phát thuốc, kho thuốc",từ 36 đến 48
6. Kho dụng cụ,từ 9 đến 12
