Loại phòng,Diện tích<br>($m^{2}$/người)
1. Giám đốc bệnh viện,30
2. Phó giám đốc bệnh viện,18
"3. Trưởng khoa, phòng và các chức danh tương đương",18
"4. Phó trưởng khoa, phòng, y tá trưởng, kỹ thuật viên trưởng, nữ hộ sinh trưởng và các chức danh tương đương",15
5. Chuyên viên và các chức danh tương đương,từ 8 đến 10
6. Nhân viên thực hành nghiệp vụ kỹ thuật,từ 9 đến 12
7. Nhân viên làm công tác phục vụ,từ 9 đến 12
