Chuyên khoa,Số chỗ khám bệnh tối thiểu<br>(chỗ),Tỷ lệ<br>(%),Ghi chú
1. Nội,12,20,
2. Ngoại,9,15,04 chỗ khám bố trí 01 phòng thủ thuật chữa bệnh
3. Sản,6,12,
4. Phụ,3,12,
5. Nhi,9,15,04 chỗ khám bố trí 01 phòng thủ thuật chữa bệnh
6. Răng Hàm Mặt,4,6,Kết hợp khám và chữa
7. Tai Mũi Họng,4,6,Kết hợp khám và chữa
8. Mắt,4,6,03 chỗ khám bố trí 01 phòng thủ thuật chữa bệnh
9. Truyền nhiễm,5,7,"Chỗ khám, chữa cách ly"
10. Y học cổ truyền,4,6,
11. Các chuyên khoa khác,5,7,
