Loại phòng,Diện tích<br>($m^{2}$)
"1. Kho dự trữ đồ vải, văn phòng phẩm, đồ dùng sinh hoạt của bệnh nhân, nhân viên.",từ 65 đến 80
"2. Kho đồ cũ, bao bì",từ 45 đến 60
3. Xưởng sửa chữa nhỏ:,
&nbsp;&nbsp;\- Đồ điện,-
&nbsp;&nbsp;\- Đồ kim loại,từ 24 đến 36
&nbsp;&nbsp;\- Thiết bị nước,-
&nbsp;&nbsp;\- Đồ gỗ,-
&nbsp;&nbsp;\- Thiết bị nhà cửa,từ 24 đến 36
