Loại phòng,Diện tích tối thiểu,Ghi chú
"1. Phòng khám phụ khoa, $m^{2}$/bàn",từ 15 đến 18,Mỗi bàn thêm tính từ 8 $m^{2}$/bàn đến 9 $m^{2}$/bàn nhưng không quá 03 bàn/phòng
**2. Phòng thủ thuật**,,
"&nbsp;&nbsp;\- Chỗ làm thuốc, $m^{2}$/chỗ",từ 18 đến 24,
"&nbsp;&nbsp;\- Chỗ soi đốt, $m^{2}$/bàn",từ 18 đến 24,
"&nbsp;&nbsp;\- Chỗ rửa, hấp, chuẩn bị dụng cụ, $m^{2}$/bàn",18,
