Khu vực,Nhiệt độ<br>(°C),Độ ẩm<br>(%),Số lần luân chuyển không khí/ giờ<br>(lần/giờ),Ghi chú
Điều trị tích cực,từ 21 đến 24,≤ 70,từ 10 đến 15,
Kỹ thuật can thiệp,từ 20 đến 24,≤ 70,từ 10 đến 15,
"Phòng xét nghiệm, Xquang, siêu âm",từ 21 đến 26,≤ 70,từ 3 đến 5,
Chẩn đoán hình ảnh,từ 21 đến 26,≤ 70,≥ 6,
"Phòng mổ, phòng hồi tỉnh hành lang vô khuẩn",từ 21 đến 24,từ 60 đến 70,từ 15 đến 20,
"Tiền mê, hành lang sạch",từ 21 đến 26,≤ 70,từ 5 đến 15,
Lamina HOT,từ 19 đến 22,≤ 60,20,
Khu vực sạch,từ 21 đến 26,≤ 70,từ 1 đến 2,Khoa Xét nghiệm
