Loại phòng,Diện tích<br>($m^{2}$)
"1. Phòng khám (01 ghế), $m^{2}$/ghế khám",12
"2. Phòng soi (soi cứng, soi mềm)",từ 18 đến 24
3. Phòng thủ thuật,từ 24 đến 36
"4. Chỗ rửa hấp, sấy, chuẩn bị dụng cụ",từ 12 đến 18
