"Giới hạn chảy của thép $f_{y}$, MPa","Độ mỏng thành tương đối của — thanh cánh, δ = D/t","Độ mỏng thành tương đối của — thanh tiếp giáp, $\delta_{d}$ = d/$t_{d}$ — chịu nén","Độ mỏng thành tương đối của — thanh tiếp giáp, $\delta_{d}$ = d/$t_{d}$ — chịu kéo"
≤ 295,30,90,90
> 295 và ≤ 390,35,80,90
> 390,40,70,90
