Hệ số,"Giá trị $\alpha_{1}$, $\alpha_{2}$, β — khi dùng một bu lông và khoảng cách a bằng — 1,35d 1)","Giá trị $\alpha_{1}$, $\alpha_{2}$, β — khi dùng một bu lông và khoảng cách a bằng — 1,5d","Giá trị $\alpha_{1}$, $\alpha_{2}$, β — khi dùng một bu lông và khoảng cách a bằng — 2d","Giá trị $\alpha_{1}$, $\alpha_{2}$, β — khi a ≥ 1,5d và s ≥ 2d với số bu lông trong một hàng bằng — 2","Giá trị $\alpha_{1}$, $\alpha_{2}$, β — khi a ≥ 1,5d và s ≥ 2d với số bu lông trong một hàng bằng — 3","Giá trị $\alpha_{1}$, $\alpha_{2}$, β — khi a ≥ 1,5d và s ≥ 2d với số bu lông trong một hàng bằng — 4"
$\alpha_{1}$,"1,70","1,70","1,70","1,77","1,45","1,17"
$\alpha_{2}$,"0,05","0,05","0,05","0,19","0,36","0,47"
β,"0,65","0,85","1,00","1,00","1,00","1,00"
"**<sup>1)</sup> Chỉ áp dụng đối với các thanh bụng (thanh xiên và thanh ngang), trừ các thanh thường xuyên chịu kéo, có chiều dày cánh đến 6 mm.**",,,,,,
**Các ký hiệu trong Bảng 6:<br>a là khoảng cách dọc theo lực tác dụng tính từ mép cấu kiện đến tâm lỗ bu lông gần nhất;<br>s là khoảng cách dọc theo lực tác dụng giữa tâm các lỗ bu lông.**,,,,,,
