Kết cấu,Mác thép theo TCVN 9986-2:2013 (ISO 630-2:2011) khi nhiệt độ tính toán ≥ - 45 °C
"1. Các kết cấu, trừ cột đường dây tải điện trên không và cột thiết bị phân phối điện ngoài trời",S235B
"2. Đối với bu lông chữ U, cũng như bu lông móng của cột đường dây tải điện trên không và cột thiết bị phân phối điện ngoài trời","S235B, S235C"
