Mác,"Giới hạn chảy nhỏ nhất, MPa","Giới hạn bền kéo, MPa","Độ giãn dài tương đối nhỏ nhất, %, cho chiều dày danh nghĩa, mm — < 3","Độ giãn dài tương đối nhỏ nhất, %, cho chiều dày danh nghĩa, mm — ≥ 3; ≤ 6"
HR235,235,330,20,23
HR275,275,370,17,20
HR355,355,450,15,19
