a/$h_{ef}$ hoặc a/(2$h_{c}$),"≤ 0,8","0,9","1,0","1,2","1,4","1,6","1,8","≥ 2,0"
$c_{cr}$,Theo Bảng 13,"37,0","39,2","45,2","52,8","62,0","72,6","84,7"
