Ký hiệu,"Chiều dày tiết diện, mm — nhỏ nhất","Giới hạn chảy, MPa — nhỏ nhất","Giới hạn bền kéo, MPa — nhỏ nhất","Độ giãn dài tương đối, % — nhỏ nhất"
1,2,3,4,5
C255Б; <br>C255Б-1,≤ 10,255,380,25
C255Б; <br>C255Б-1,> 10; ≤ 20,245,370,25
C255Б; <br>C255Б-1,> 20; ≤ 40,235,370,24
C255Б; <br>C255Б-1,> 40; ≤ 100,225,370,23
C255Б; <br>C255Б-1,> 100,205,360,22
C345Б; <br>C345Б-1,≤ 10,345,480,21
C345Б; <br>C345Б-1,> 10; ≤ 20,325,470,21
C345Б; <br>C345Б-1,> 20; ≤ 40,305,460,21
C345Б; <br>C345Б-1,> 40; ≤ 100,285,450,20
C345Б; <br>C345Б-1,> 100,275,440,19
C355Б; <br>C355Б-1,≤ 20,355,480,22
C355Б; <br>C355Б-1,> 20; ≤ 40,345,470,22
C355Б; <br>C355Б-1,> 40; ≤ 60,335,470,21
C355Б; <br>C355Б-1,> 60; ≤ 80,325,460,20
C355Б; <br>C355Б-1,> 80; ≤ 100,315,460,19
C355Б; <br>C355Б-1,> 100,295,450,18
C390Б,≤ 20,390,520,20
C390Б,"> 20,≤ 40",375,520,20
C390Б,"> 40,≤ 60",360,510,19
C390Б,"> 60,≤ 80",345,500,19
C390Б,> 80; ≤ 100,330,490,18
C390Б,> 100,315,480,18
C440Б,≤ 20,440,590,19
C440Б,> 20; ≤ 40,425,580,18
C440Б,> 40; ≤ 60,410,570,17
C440Б,> 60; ≤ 80,395,560,17
C440Б,> 80; ≤ 100,380,550,17
C440Б,> 100,365,540,17
