$h_{1}$/$h_{ef}$,"Mô men quán tính — của sườn cứng ngang, $I_{r}$","Mô men quán tính — của sườn cứng dọc, $I_{rL}$ — yêu cầu","Mô men quán tính — của sườn cứng dọc, $I_{rL}$ — giới hạn — tối thiểu","Mô men quán tính — của sườn cứng dọc, $I_{rL}$ — giới hạn — tối đa"
"0,20",$\ge 3h_{\text{ef}}t_{\text{w}}^3$,$(2.5 - 0.5 a h_{ef}) a^2 t_w^3 / h_{ef}$,$1.5h_{er}t_w^3$,$7h_{\text{ef}}t_w^3$
"0,25",$\ge 3h_{\text{ef}}t_{\text{w}}^3$,$(1.5 - 0.4 a h_{ef})a^2 t_w^3 / h_{ef}$,"$1,5 h_{\text{ef}} t_w^3$",$8.5 h_{\text{ef}} t_w^3$
"0,30",$\ge 3h_{\text{ef}}t_{\text{w}}^3$,$1.5 h_{\text{er}} t_w^3$,-,-
