Vị trí đặt tải trọng — 1. Ở cánh trên,"Giá trị $\overline{\lambda}_{ub}$ — $0,35 + 0,0032\frac{b}{t} + \left(0,76 - 0,02\frac{b}{t}\right)\frac{b}{h}$",Giá trị $\overline{\lambda}_{ub}$ — (70)
2. Ở cánh dưới,"$0,57 + 0,0032\frac{b}{t} + \left(0,92 - 0,02\frac{b}{t}\right)\frac{b}{h}$",(71)
3. Không phụ thuộc vị trí đặt tải trọng khi tính toán đoạn dầm giữa các điểm giằng hoặc khi uốn thuần túy,"$0,41 + 0,0032\frac{b}{t} + \left(0,73 - 0,016\frac{b}{t}\right)\frac{b}{h}$",(72)
**Các ký hiệu trong Bảng 12:<br>b và t là chiều rộng và chiều dày của cánh chịu nén;<br>h là khoảng cách (chiều cao) trục các cánh.**,,
