Mác,"Giới hạn chảy nhỏ nhất, MPa","Giới hạn bền kéo, MPa","Độ giãn dài tương đối nhỏ nhất, %, cho chiều dày danh nghĩa, mm — < 3","Độ giãn dài tương đối nhỏ nhất, %, cho chiều dày danh nghĩa, mm — ≥ 3; ≤ 6"
HS355,355,430,18,22
HS390,390,460,16,20
HS420,420,490,14,19
HS460,460,530,12,17
HS490,490,590,10,15
