ρ,"Giá trị $c_{1}$ khi a/$h_{ef}$ (hoặc $a_{1}$/$h_{ef}$) bằng — 0,50","Giá trị $c_{1}$ khi a/$h_{ef}$ (hoặc $a_{1}$/$h_{ef}$) bằng — 0,60","Giá trị $c_{1}$ khi a/$h_{ef}$ (hoặc $a_{1}$/$h_{ef}$) bằng — 0,67","Giá trị $c_{1}$ khi a/$h_{ef}$ (hoặc $a_{1}$/$h_{ef}$) bằng — 0,80","Giá trị $c_{1}$ khi a/$h_{ef}$ (hoặc $a_{1}$/$h_{ef}$) bằng — 1,00","Giá trị $c_{1}$ khi a/$h_{ef}$ (hoặc $a_{1}$/$h_{ef}$) bằng — 1,20","Giá trị $c_{1}$ khi a/$h_{ef}$ (hoặc $a_{1}$/$h_{ef}$) bằng — 1,40","Giá trị $c_{1}$ khi a/$h_{ef}$ (hoặc $a_{1}$/$h_{ef}$) bằng — 1,60","Giá trị $c_{1}$ khi a/$h_{ef}$ (hoặc $a_{1}$/$h_{ef}$) bằng — 1,80","Giá trị $c_{1}$ khi a/$h_{ef}$ (hoặc $a_{1}$/$h_{ef}$) bằng — ≥ 2,00"
"0,10","56,7","46,6","41,8","34,9","28,5","24,5","21,7","19,5","17,7","16,2"
"0,15","38,9","31,3","27,9","23,0","18,6","16,2","14,6","13,6","12,7","12,0"
"0,20","33,9","26,7","23,5","19,2","15,4","13,3","12,1","11,3","10,7","10,2"
"0,25","30,6","24,9","20,3","16,2","12,9","11,1","10,0","9,4","9,0","8,7"
"0,30","28,9","21,6","18,5","14,5","11,3","9,6","8,7","8,1","7,8","7,6"
"0,35","28,0","20,6","17,4","13,4","10,2","8,6","7,7","7,2","6,9","6,7"
"0,40","27,4","20,0","16,8","12,7","9,5","7,9","7,0","6,6","6,3","6,1"
