Liên kết cánh với bụng dầm,"Giá trị $c_{cr}$ khi δ bằng — ≤ 0,8","Giá trị $c_{cr}$ khi δ bằng — 1,0","Giá trị $c_{cr}$ khi δ bằng — 2,0","Giá trị $c_{cr}$ khi δ bằng — 4,0","Giá trị $c_{cr}$ khi δ bằng — 6,0","Giá trị $c_{cr}$ khi δ bằng — 10,0","Giá trị $c_{cr}$ khi δ bằng — ≥ 30,0"
1. Liên kết hàn,"30,0","31,5","33,3","34,6","34,8","35,1","35,5"
2. Liên kết ma sát,"35,2","35,2","35,2","35,2","35,2","35,2","35,2"
