"Đường kính $d_{b}$, mm",16,(18),20,(22),24,(27),30,36,42,48
"Bước ren p, mm","2,0","2,5","2,5","2,5","3,0","3,0","3,5","4,0","4,5","5,0"
"$A_{b}$, $mm^{2}$<br>$A_{bn}$, $mm^{2}$",201<br>157,254<br>192,314<br>245,380<br>303,452<br>353,572<br>459,706<br>561,1 017<br>816,1 385<br>1 120,1 809<br>1 472
