"Giới hạn bền kéo, fu","Cường độ tính toán — Chịu ép mặt tì đầu (có gia công phẳng mặt), $f_{c}$","Cường độ tính toán — Chịu ép cục bộ trong ổ trục (giữa các thớt cong với trục hình trụ) khi tiếp xúc chặt, $f_{cc}$","Cường độ tính toán — Chịu ép theo đường kính con lăn (trong các kết cấu có độ di động hạn chế), $f_{cd}$"
360<br>365<br>370<br>380<br>390<br>400<br>430<br>440<br>450<br>460<br>470<br>480<br>490<br>500<br>510<br>520<br>530<br>540<br>570<br>590<br>635,343/327<br>348/332<br>352/336<br>362/346<br>371/355<br>381/364<br>409/391<br>419/400<br>429/409<br>438/418<br>448/427<br>457/436<br>467/446<br>476/455<br>486/464<br>495/473<br>505/482<br>514/491<br>543/518<br>562/536<br>605/577,171/164<br>174/166<br>176/168<br>181/173<br>186/177<br>191/182<br>205/196<br>210/200<br>214/205<br>219/209<br>224/214<br>229/218<br>233/223<br>238/227<br>243/232<br>248/236<br>252/241<br>257/246<br>271/259<br>281/268<br>302/289,9/9<br>9/9<br>9/9<br>9/9<br>10/10<br>10/10<br>10/10<br>11/11<br>11/11<br>11/11<br>11/11<br>12/12<br>12/12<br>12/12<br>12/12<br>12/12<br>12/12<br>13/13<br>14/14<br>14/14<br>15/15
