Tiêu chuẩn,Ký hiệu,"Chiều dày tiết diện, mm — nhỏ nhất","Giới hạn chảy, MPa — nhỏ nhất","Giới hạn bền kéo, MPa — nhỏ nhất","Độ giãn dài tương đối, % — nhỏ nhất",Gia công nhiệt,
GB/T 3524-92,Q255B,-,255,410÷550,24,HR,HR
GB/T 3524-92,Q275,-,275,490÷650,20,HR,HR
AS/NZS 3678:2016,250,≥ 12; ≤ 20,250,410,22,-,-
AS/NZS 3678:2016,250,> 20; ≤ 32,250,410,22,-,-
AS/NZS 3678:2016,250,> 32; ≤ 50,250,410,22,-,-
AS/NZS 3678:2016,300,≥ 12; ≤ 20,300,430,21,-,-
AS/NZS 3678:2016,300,> 20; ≤ 32,280,430,21,-,-
AS/NZS 3678:2016,300,> 32; ≤ 50,280,430,21,-,-
AS/NZS 3678:2016,350,≥ 12; ≤ 20,350,450,20,-,-
AS/NZS 3678:2016,350,> 20; ≤ 32,340,450,20,-,-
AS/NZS 3678:2016,350,> 32; ≤ 50,340,450,20,-,-
AS/NZS 3678:2016,400,≥ 12; ≤ 20,380,480,18,-,-
AS/NZS 3678:2016,400,> 20; ≤ 32,360,480,18,-,-
AS/NZS 3678:2016,400,> 32; ≤ 50,360,480,18,-,-
AS/NZS 3678:2016,450,≥ 12; ≤ 20,450,520,16,-,-
AS/NZS 3678:2016,450,> 20; ≤ 32,420,520,16,-,-
AS/NZS 3678:2016,450,> 32; ≤ 50,400,520,16,-,-
**Các ký hiệu trong cột (7):<br>A - annealed; AR - as rolled; CtR - control rolled; HR - hot rolled; N - normalized; QHT - quench-hardened and tempered; SR - stress relieved; T - tempered; TMCP - thermo-mechanical control processed.**,,,,,,,
