Dạng liên kết,Phương pháp hàn,"Giá trị $h_{f}$, mm, khi chiều dày cấu kiện được hàn dày nhất T 1) , mm — ≥ 4; ≤ 5","Giá trị $h_{f}$, mm, khi chiều dày cấu kiện được hàn dày nhất T 1) , mm — ≥ 6; ≤ 10","Giá trị $h_{f}$, mm, khi chiều dày cấu kiện được hàn dày nhất T 1) , mm — ≥ 11; ≤ 16","Giá trị $h_{f}$, mm, khi chiều dày cấu kiện được hàn dày nhất T 1) , mm — ≥ 17; ≤ 22","Giá trị $h_{f}$, mm, khi chiều dày cấu kiện được hàn dày nhất T 1) , mm — ≥ 23; ≤ 32","Giá trị $h_{f}$, mm, khi chiều dày cấu kiện được hàn dày nhất T 1) , mm — ≥ 33; ≤ 40"
1. Liên kết chữ T với đường hàn góc hai bên; liên kết ghép chồng và liên kết góc,"Hồ quang tay, tự động và cơ giới",3,4,6,10,12,16
2. Liên kết góc và liên kết chữ T với đường hàn góc một bên,"Hồ quang tay, tự động và cơ giới",3,5,8,12,16,22
"**<sup>1)</sup> Với điều kiện t ≥ 0,6T, trong đó t là chiều dày cấu kiện được hàn mỏng nhất.**",,,,,,,
