Cấp chất lượng,"Giá trị $\psi_{zn}$, không nhỏ hơn — Giá trị trung bình của kết quả thử 3 mẫu thử","Giá trị $\psi_{zn}$, không nhỏ hơn — Giá trị đơn lẻ"
Z15,15,10
Z25,25,15
Z35,35,25
