Cấu kiện kết cấu,Giá trị $\lambda_{u}$
"1. Thanh cánh, thanh xiên gối tựa và thanh đứng gối tựa truyền phản lực gối tựa của: a) Giàn phẳng; kết cấu lưới thanh không gian và kết cấu không gian rỗng làm bằng thép ống hoặc tổ hợp từ hai thép góc với chiều cao đến 50 m<br>b) Kết cấu không gian rỗng làm bằng thép góc đơn, cũng như kết cấu không gian rỗng làm bằng thép ống hoặc tổ hợp từ hai thép góc với chiều cao trên 50 m",180-60α<br>120
2. Các thanh (trừ các thanh nêu ở các điểm 1 và 7) của:<br>a) Giàn phẳng; kết cấu không gian rỗng và kết cấu lưới thanh không gian được hàn từ các thép góc đơn; kết cấu không gian rỗng và kết cấu lưới thanh không gian làm bằng thép ống hoặc tổ hợp từ hai thép góc<br>b) Kết cấu không gian rỗng và kết cấu lưới thanh không gian làm bằng thép góc đơn dùng liên kết bu lông,210-60α<br>220-40α
3. Thanh cánh trên của giàn không được chống giữ tạm trong quá trình lắp dựng (khi đã lắp dựng xong thì độ mảnh giới hạn lấy theo điểm 1),220
4. Các cột chính,180-60α
"5. Các cột phụ (cột của khung tường, cửa trời và tương tự); các thanh giằng của cột rỗng; các thanh của hệ giằng đứng giữa các cột (ở dưới dầm đỡ cầu trục); các dầm và xà gồ, có kể đến sự làm việc chịu nén",210 - 60α
"6. Các thanh giằng (trừ các thanh nêu ở điểm 5), cũng như các thanh dùng để giảm chiều dài tính toán của các thanh chịu nén, và các thanh không chịu lực khác (trừ các thanh nêu ở điểm 7)",200
"7. Các thanh chịu nén và các thanh không chịu lực tiết diện chữ T và chữ thập của kết cấu không gian rỗng chịu tải trọng gió, khi kiểm tra độ mảnh trong mặt phẳng thẳng đứng",150
"Các ký hiệu trong Bảng 33:<br>α = N/($\varphi Af_{yd}\gamma_{c}$) là hệ số, lấy không nhỏ hơn 0,5 (trong các trường hợp thích hợp thì thay φ bằng $\varphi_{e}$ ).",
