Khoảng cách và giới hạn chảy của các cấu kiện được liên kết,Khoảng cách bố trí bu lông
"1. Khoảng cách giữa tâm các lỗ bu lông theo phương bất kỳ:<br>a) Khoảng cách tối thiểu:<br>khi $f_{y}$< 540 MPa<br>khi $f_{y}$ ≥ 540 MPa<br>b) Khoảng cách tối đa trong các hàng bu lông ngoài cùng khi không có thép góc viền mép, khi chịu kéo và chịu nén<br>c) Khoảng cách tối đa trong các hàng bu lông giữa, cũng như trong các hàng bu lông ngoài cùng khi có thép góc viền mép:<br>khi chịu kéo<br>khi chịu nén","2,5d<br>3d<br>min (8d; 12t)<br>min (16d; 24t)<br>min (12d; 18t)"
2. Khoảng cách giữa tâm các lỗ bu lông đến mép cấu kiện:<br>a) Khoảng cách tối thiểu dọc theo phương lực tác dụng:<br>khi $f_{y}$ < 540 MPa<br>khi $f_{y}$ ≥ 540 MPa<br>b) Khoảng cách tối thiểu theo phương vuông góc với lực tác dụng:<br>khi mép cắt<br>khi mép cán<br>c) Khoảng cách tối đa<br>d) Khoảng cách tối thiểu trong liên kết ma sát khi vát mép bất kỳ và theo phương bất kỳ so với phương lực tác dụng,"2d<br>2,5d<br>1,5d<br>1,2d<br>min (4d; 8t)<br>1,3d"
3. Khoảng cách tối thiểu giữa tâm các lỗ bu lông dọc theo phương lực tác dụng đối với bu lông được bố trí so le,"u + 1,5d"
**Các ký hiệu trong Bảng 43:<br>d  là đường kính lỗ bu lông;<br>t  là chiều dày cấu kiện bên ngoài mỏng nhất;<br>u  là khoảng cách đo ngang phương lực tác dụng giữa các hàng lỗ bu lông.**,
