"$\frac{M_x}{c_x W_{xn,\min} f_{yd} \gamma_c}$",0,"0,1","0,2","0,3","0,4","0,5","0,6","0,7","0,8","0,9","0,99"
$c_{\omega}$,"1,470","1,636","1,845","2,054","2,263","2,472","2,681","2,890","3,099","3,308","3,496"
