"Tiết diện — $\frac{q_{sw,1} Z_1}{R_s A_{s,1}}$","Giá trị $\frac{q_{sw,1} Z_1}{R_s A_{s,1}}$ khi 0,8 ≤$\frac{q_{sw,1} Z_1}{R_s A_{s,1}}$≤ 4 — 0,36 + 0,10$\frac{q_{sw,1} Z_1}{R_s A_{s,1}}$ — 0,43 + 0,08$\frac{q_{sw,1} Z_1}{R_s A_{s,1}}$ — 0,40 + 0,07$\frac{q_{sw,1} Z_1}{R_s A_{s,1}}$","Giá trị $\frac{q_{sw,1} Z_1}{R_s A_{s,1}}$ khi 0,8 ≤$\frac{q_{sw,1} Z_1}{R_s A_{s,1}}$≤ 4 — (36) — (37) — (38)"
"$b_{ef}, \quad a_{ef}$","0,85 + 0,19$\frac{q_{sw,1} Z_1}{R_s A_{s,1}}$",(39)
"**Các ký hiệu trong Bảng 10:<br>$\frac{q_{sw,1} Z_1}{R_s A_{s,1}}$ là độ mảnh quy ước của cấu kiện, dùng trong tính toán ổn định khi chịu nén đúng tâm.**",,
