Bản — Kê bốn cạnh,Bản — $\alpha_{1}$ — $\alpha_{2}$,"Khi b/a bằng — 1,0 — 0,048","Khi b/a bằng — 1,1 — 0,055 — 0,049","Khi b/a bằng — 1,2 — 0,063 — 0,050","Khi b/a bằng — 1,3 — 0,069 — 0,050","Khi b/a bằng — 1,4 — 0,075 — 0,050","Khi b/a bằng — 1,5 — 0,081 — 0,050","Khi b/a bằng — 1,6 — 0,086 — 0,049","Khi b/a bằng — 1,7 — 0,091 — 0,048","Khi b/a bằng — 1,8 — 0,094 — 0,048","Khi b/a bằng — 1,9 — 0,098 — 0,047","Khi b/a bằng — 2,0 — 0,100 — 0,046","Khi b/a bằng — > 2,0 — 0,125 — 0,037"
Kê ba cạnh,$\alpha_{3}$,Khi $a_{1}$/$d_{1}$ bằng,Khi $a_{1}$/$d_{1}$ bằng,Khi $a_{1}$/$d_{1}$ bằng,Khi $a_{1}$/$d_{1}$ bằng,Khi $a_{1}$/$d_{1}$ bằng,Khi $a_{1}$/$d_{1}$ bằng,Khi $a_{1}$/$d_{1}$ bằng,Khi $a_{1}$/$d_{1}$ bằng,Khi $a_{1}$/$d_{1}$ bằng,Khi $a_{1}$/$d_{1}$ bằng,,
Kê ba cạnh,$\alpha_{3}$,"0,5","0,6","0,7","0,8","0,9","1,0","1,2","1,4","2,0","> 2,0",,
Kê ba cạnh,$\alpha_{3}$,"0,060","0,074","0,088","0,097","0,107","0,112","0,120","0,126","0,132","0,133",,
**Các ký hiệu trong Bảng E.2:<br>b là cạnh dài;<br>a là cạnh ngắn;<br>$d_{1}$ là cạnh tự do;<br>$a_{1}$ là cạnh vuông góc với cạnh tự do.**,,,,,,,,,,,,,
