$\tau / f_v$,"Giá trị α khi $\overline{\lambda}_w$ bằng — 2,2","Giá trị α khi $\overline{\lambda}_w$ bằng — 2,5","Giá trị α khi $\overline{\lambda}_w$ bằng — 3,0","Giá trị α khi $\overline{\lambda}_w$ bằng — 3,5","Giá trị α khi $\overline{\lambda}_w$ bằng — 4,0","Giá trị α khi $\overline{\lambda}_w$ bằng — 4,5","Giá trị α khi $\overline{\lambda}_w$ bằng — 5,0","Giá trị α khi $\overline{\lambda}_w$ bằng — 5,5"
"0,0","0,240","0,239","0,235","0,226","0,213","0,195","0,173","0,153"
"0,5","0,203","0,202","0,197","0,189","0,176","0,158","0,136","0,116"
"0,6","0,186","0,185","0,181","0,172","0,159","0,141","0,119","0,099"
"0,7","0,167","0,166","0,162","0,152","0,140","0,122","0,100","0,080"
"0,8","0,144","0,143","0,139","0,130","0,117","0,099","0,077","0,057"
"0,9","0,119","0,118","0,114","0,105","0,092","0,074","0,052","0,032"
