STTSTTSTT,Loại công trìnhLoại công trìnhLoại công trình,Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xác định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xácChi phí thực hiện bảo dưỡng và sửa chữa các công trình xác  định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng) — ≤ 10≤ 10≤ 10,Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xác định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xácChi phí thực hiện bảo dưỡng và sửa chữa các công trình xác  định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng) — 202020,Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xác định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xácChi phí thực hiện bảo dưỡng và sửa chữa các công trình xác  định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng) — 505050,Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xác định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xácChi phí thực hiện bảo dưỡng và sửa chữa các công trình xác  định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng) — 100100100,Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xác định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xácChi phí thực hiện bảo dưỡng và sửa chữa các công trình xác  định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng) — 200200200,Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xác định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xácChi phí thực hiện bảo dưỡng và sửa chữa các công trình xác  định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng) — 500500500,Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xác định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)Chi phí thực hiện bảo dưỡng và sửa chữa các công trình xácChi phí thực hiện bảo dưỡng và sửa chữa các công trình xác  định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng)định theo kế hoạch bảo trì (chưa có thuế GTGT) (tỷ đồng) — ≤ 1.000≤ 1.000≤ 1.000
111,Công trình dân dụngCông trình dânCông trình dân  dụngdụng,"3,4463,4463,446","2,9232,9232,923","2,6102,6102,610","2,0172,0172,017","1,8861,8861,886","1,5141,5141,514","1,2391,2391,239"
222,Công trình công nghiệpCông trình công nghiệpCông trình công nghiệp,"3,5573,5573,557","3,0183,0183,018","2,6942,6942,694","2,0822,0822,082","1,9471,9471,947","1,5641,5641,564","1,2791,2791,279"
333,Công trình giao thôngCông trình giao thôngCông trình giao thông,"3,0243,0243,024","2,5662,5662,566","2,2922,2922,292","1,7711,7711,771","1,6551,6551,655","1,3291,3291,329","1,0881,0881,088"
444,Công trình nông nghiệp và môi trườngCông trìnhCông trình  nông nghiệp và môi trườngnông nghiệp và môi trường,"3,2633,2633,263","2,7692,7692,769","2,4732,4732,473","1,9101,9101,910","1,7861,7861,786","1,4341,4341,434","1,1741,1741,174"
555,Công trình hạ tầng kỹ thuậtCông trình hạ tầng kỹ thuậtCông trình hạ tầng kỹ thuật,"2,9012,9012,901","2,4612,4612,461","2,1982,1982,198","1,5931,5931,593","1,5601,5601,560","1,2751,2751,275","1,0711,0711,071"
