Loại khoang đệm ngăn cháy,Loại bộ phận của khoang đệm ngăn cháy - Vách ngăn,Loại bộ phận của khoang đệm ngăn cháy - Sàn,Loại bộ phận của khoang đệm ngăn cháy - Bộ phận chèn bịt lỗ mở
1,1,3,2
2,2,4,3
