Số học sinh hoặc số chỗ trong nhà,Cấp nguy hiểm cháy kết cấu,Bậc chịu lửa tối thiểu,"Chiều cao PCCC lớn nhất cho phép của nhà, m (số tầng)"
≤ 100,Không quy định,Không quy định,3 (1)
≤ 270,S1,III,3 (1)
≤ 350,S0,III,7 (2)
≤ 350,S1,II,7 (2)
≤ 600,S0,II,11 (3)
Không hạn chế,S0,I,19 (5)
Nhà ngủ,Nhà ngủ,Nhà ngủ,Nhà ngủ
≤ 40,Không quy định,Không quy định,3 (1)
≤ 80,"S1, S2, S3",IV,3 (1)
≤ 140,S0,IV,3 (1)
≤ 200,S1,III,3 (1)
≤ 280,S0,III,7 (2)
Không hạn chế,S0,"I, II",15 (4)
