Kết cấu và vật liệu bảo vệ,"Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa - R 240","Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa - R 180","Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa - R 120","Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa - R 90","Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa - R 60","Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa - R 30"
A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát)
"1. Bê tông cốt liệu tự nhiên, không nghèo hơn so với cấp phối 1:2:4 2):",,,,,,
"a) Bê tông không tham gia chịu lực, có cốt thép3)",75,50,25,25,25,25
"b) Bê tông có tham gia chịu lực, có cốt thép (được thiết kế theo tiêu chuẩn lựa chọn áp dụng)",75,75,50,50,50,50
B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4)
1. Lưới thép với:,,,,,,
a) Lớp trát xi măng - vôi với chiều dày,-,-,38,25,19,"12,5"
b) Lớp trát thạch cao với chiều dày,-,-,22,19,16,"12,5"
