Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu,"Chiều cao PCCC lớn nhất cho phép của nhà, m","Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2 - 1 tầng","Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2 - 2 tầng","Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2 - 3 đến 5 tầng"
"I, II",S0,28,3 500,3 000,2 500
III,"S0, S1",8,2 000,1 000,-
IV,S0,3,1 000,-,-
"IV, V","S1, S2, S3",3,500,-,-
