Đặc điểm,"Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 240","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 180","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 120","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 90","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 60","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 30"
Bê tông dùng cốt liệu gốc silic:,,,,,,
a) Không có biện pháp bảo vệ bổ sung,180,150,100,100,75,75
b) Có trát vermiculite/thạch cao1) dày 15 mm trên bề mặt tiếp xúc với lửa,125,100,75,75,65,65
