Hạng nhà,Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,"Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2"
C,"I, II, III",S0,9 600
C,IV,"S0, S1",4 800
C,IV,"S2, S3",2 400
C,V,Không quy định,1 200
