Bậc chịu lửa và cấp nguy hiểm cháy kết cấu,"Khoảng cách giữa các nhà, m - Bậc chịu lửa I và II.  Bậc chịu lửa III và IV với cấp S0","Khoảng cách giữa các nhà, m - Bậc chịu lửa III và cấp S1","Khoảng cách giữa các nhà, m - Bậc chịu lửa III và cấp S2, S3. Bậc chịu lửa IV và cáp S1, S2, S3. Bậc chịu lửa V"
1. Bậc chịu lửa I và II. Bậc chịu lửa III và IV với cấp S0,Nhà hạng D và E: không quy định,9,12
1. Bậc chịu lửa I và II. Bậc chịu lửa III và IV với cấp S0,"Nhà hạng A, B, C: 9 m (xem thêm chú thích 3)",9,12
2. Bậc chịu lửa III và cấp S1,9,12,15
"3. Bậc chịu lửa III và cấp S2, S3. Bậc chịu lửa IV và cấp S1, S2, S3. Bậc chịu lửa V",12,15,18
