Mức,Thời hạn sử dụng theo thiết kế của công trình <sup>1)</sup>,Công trình,Công trình
1,Nhỏ hơn 25 năm,"Công trình quy định tại A.2, Phụ lục A của quy chuẩn này.","Công trình quy định tại A.2, Phụ lục A của quy chuẩn này."
2,Không nhỏ hơn 25 năm,"Công trình chịu tác động trực tiếp của môi trường xâm thực mạnh <sup>2)</sup> (hóa chất, môi trường biển), trừ công trình tạm.","Công trình chịu tác động trực tiếp của môi trường xâm thực mạnh <sup>2)</sup> (hóa chất, môi trường biển), trừ công trình tạm."
3,Không nhỏ hơn 50 năm,"Các công trình dân dụng, công nghiệp, hạ tầng kỹ thuật và các công trình dạng nhà khác không thuộc các mức 1, 2 và 4 trong bảng này.","Các công trình dân dụng, công nghiệp, hạ tầng kỹ thuật và các công trình dạng nhà khác không thuộc các mức 1, 2 và 4 trong bảng này."
4,Không nhỏ hơn 100 năm,"Nhà và công trình độc đáo, có giá trị kiến trúc hoặc mang ý nghĩa biểu tượng quan trọng (Bảo tàng quốc gia, nhà lưu giữ hiện vật quốc gia, sân vận động thi đấu cấp quốc gia hoặc quốc tế, nhà hát quốc gia, công trình điểm nhấn có kiến trúc độc đáo tại các địa phương và các công trình tương tự).","Nhà và công trình độc đáo, có giá trị kiến trúc hoặc mang ý nghĩa biểu tượng quan trọng (Bảo tàng quốc gia, nhà lưu giữ hiện vật quốc gia, sân vận động thi đấu cấp quốc gia hoặc quốc tế, nhà hát quốc gia, công trình điểm nhấn có kiến trúc độc đáo tại các địa phương và các công trình tương tự)."
**<sup>1)</sup> Thời hạn sử dụng theo thiết kế của một số bộ phận kết cấu và bộ phận bao che riêng biệt có thể lấy khác thời hạn sử dụng theo thiết kế của công trình.<br><sup>2)</sup> Xác định theo thang phân loại môi trường xâm thực trong tiêu chuẩn có liên quan.**,,,
