Cấp hậu quả,Nhóm tiêu chí,Ngưỡng định lượng / Đặc điểm nhận diện,Điều khoản
C3,Tập trung đông người,Nhà ga hàng không chính; TT hội nghị / nhà hát > 1.200 chỗ; TTTM / siêu thị có nhiều tầng sàn kinh doanh > 30.000 m2; Khán đài > 5.000 chỗ; Bệnh viện ≥ 500 giường,Mục A.1.1 Phụ lục A
C3,Môi trường & kinh tế lớn,Chất phóng xạ; vật liệu nổ; hóa chất nguy hiểm rò rỉ/cháy nổ; Lọc hóa dầu / khí / kho xăng dầu lớn; Nhiệt điện ≥ 150 MW,Mục A.1.2 Phụ lục A
C3,Ý nghĩa chính trị - xã hội,Nhà Quốc hội; Phủ Chủ tịch; Trụ sở Chính phủ; Trụ sở TƯ Đảng; Bảo tàng / thư viện / triển lãm cấp quốc gia,Mục A.1.3 Phụ lục A
C3,Quy mô kết cấu lớn,Kết cấu nhà H > 75 m; Tháp / cột H > 75 m; Si lô / bể chứa H > 75 m hoặc V > 15.000 m3; Nhịp ≥ 100 m; Chiều sâu ngầm ≥ 18 m,Mục A.1.4 Phụ lục A
C1,Hậu quả nhỏ,Nhà ở riêng lẻ 1 tầng vật liệu độ bền thấp; Nhà 1 tầng sinh hoạt/sản xuất/kho tạm; Nhà di động container/tháo lắp; Nhà bảo vệ / lều trại / hàng rào tạm,Mục A.2 Phụ lục A
C2,Hậu quả trung bình,Công trình khác ngoài các công trình thuộc cấp C1 và C3,Mục A.3 Phụ lục A
