Mức,Thời hạn sử dụng theo thiết kế,Loại công trình áp dụng,Căn cứ
Mức 1,Nhỏ hơn 25 năm,Công trình tạm; công trình quy định tại Mục A.2 Phụ lục A,Bảng 1 QCVN 03:2022/BXD
Mức 2,Không nhỏ hơn 25 năm,Công trình chịu tác động trực tiếp của môi trường xâm thực mạnh (hóa chất; biển) trừ công trình tạm,Bảng 1 QCVN 03:2022/BXD
Mức 3,Không nhỏ hơn 50 năm,Các công trình dân dụng; công nghiệp; hạ tầng kỹ thuật và công trình dạng nhà khác không thuộc mức 1; 2; 4,Bảng 1 QCVN 03:2022/BXD
Mức 4,Không nhỏ hơn 100 năm,Nhà và công trình độc đáo; có giá trị kiến trúc hoặc ý nghĩa biểu tượng quan trọng quốc gia / địa phương,Bảng 1 QCVN 03:2022/BXD
