Trạng thái đất,Độ chặt tương đối D,$Z_{L}$ /d,k — Cọc đóng,k — Cọc khoan nhồi và Barrette,N’$_{q}$ — Cọc đóng,N’$_{q}$ — Cọc khoan nhồi và Barrette
Rời,"Từ 0,2 đến 0,4",6,"0,8","0,3",60,25
Chặt vừa,"Từ 0,4 đến 0,75",8,"1,0","0,5",100,60
Chặt,"Từ 0,75 đến 0,90",15,"1,5","0,8",180,100
