Cấp động đất tính toán của nhà và công trình,Hệ số điều kiện làm việc $_{eq1}$ để hiệu chỉnh trị số $q_{b}$ ứng với đất — cát chặt — ẩm ít và bị ẩm,Hệ số điều kiện làm việc $_{eq1}$ để hiệu chỉnh trị số $q_{b}$ ứng với đất — cát chặt — bão hòa nước,Hệ số điều kiện làm việc $_{eq1}$ để hiệu chỉnh trị số $q_{b}$ ứng với đất — cát chặt vừa — ẩm ít và ẩm,Hệ số điều kiện làm việc $_{eq1}$ để hiệu chỉnh trị số $q_{b}$ ứng với đất — cát chặt vừa — bão hòa nước,Hệ số điều kiện làm việc $_{eq1}$ để hiệu chỉnh trị số $q_{b}$ ứng với đất — đất dính ứng với chỉ số sệt — $I_{L}$<0,"Hệ số điều kiện làm việc $_{eq1}$ để hiệu chỉnh trị số $q_{b}$ ứng với đất — đất dính ứng với chỉ số sệt — 0 ≤ $I_{L}$ ≤ 0,5",Hệ số điều kiện làm việc $_{eq2}$ để hiệu chỉnh trị số $f_{i}$ ứng với đất — cát chặt và chặt vừa — ẩm ít và ẩm,Hệ số điều kiện làm việc $_{eq2}$ để hiệu chỉnh trị số $f_{i}$ ứng với đất — cát chặt và chặt vừa — bão hòa nước,Hệ số điều kiện làm việc $_{eq2}$ để hiệu chỉnh trị số $f_{i}$ ứng với đất — đất dính ứng với chỉ số sệt — $I_{L}$< 0,"Hệ số điều kiện làm việc $_{eq2}$ để hiệu chỉnh trị số $f_{i}$ ứng với đất — đất dính ứng với chỉ số sệt — 0 ≤ $I_{L}$ < 0,75","Hệ số điều kiện làm việc $_{eq2}$ để hiệu chỉnh trị số $f_{i}$ ứng với đất — đất dính ứng với chỉ số sệt — 0,75 ≤ $I_{L}$ < 1,0"
7,1,"0,9","0,95","0,8",1,"0,95","0,95","0,9","0,95","0,85","0,75"
7,"0,9","0,5","0,85","0,4",1,"0,9","0,85","0,5","0,9","0,8","0,75"
8,"0,9","0,8","0,85","0,7","0,95","0,9","0,85","0,8","0,9","0,8","0,7"
8,"0,8","0,4","0,75","0,35","0,95","0,8","0,75","0,4","0,8","0,7","0,65"
9,"0,8","0,7","0,75",-,"0,90","0,85","0,75","0,7","0,85","0,7","0,6"
9,"0,7","0,35","0,60",-,"0,85","0,7","0,65","0,35","0,65","0,6",-
