Hệ số,Góc ma sát trong tính toán $_{I}$ của đất dưới mũi cọc độ — 23,Góc ma sát trong tính toán $_{I}$ của đất dưới mũi cọc độ — 25,Góc ma sát trong tính toán $_{I}$ của đất dưới mũi cọc độ — 27,Góc ma sát trong tính toán $_{I}$ của đất dưới mũi cọc độ — 29,Góc ma sát trong tính toán $_{I}$ của đất dưới mũi cọc độ — 31,Góc ma sát trong tính toán $_{I}$ của đất dưới mũi cọc độ — 33,Góc ma sát trong tính toán $_{I}$ của đất dưới mũi cọc độ — 35,Góc ma sát trong tính toán $_{I}$ của đất dưới mũi cọc độ — 37,Góc ma sát trong tính toán $_{I}$ của đất dưới mũi cọc độ — 39
$_{1}$<br>$_{2}$,"9,5<br>18,6","12,6<br>24,8","17,3<br>32,8","24,4<br>45,5","34,6<br>64","48,6<br>78,6","71,3<br>127,0","108,0<br>185,0","163,0<br>260,0"
"$_{3}$ ứng với h/d<br>4,0<br>5,0<br>7,5<br>10,0<br>12,5<br>15,0<br>17,5<br>20,0<br>22,5<br>≥ 25,0","0,78<br>0,75<br>0,68<br>0,62<br>0,58<br>0,55<br>0,51<br>0,49<br>0,46<br>0,44","0,79<br>0,76<br>0,70<br>0,65<br>0,61<br>0,58<br>0,55<br>0,53<br>0,51<br>0,49","0,8<br>0,77<br>0,71<br>0,67<br>0,68<br>0,61<br>0,58<br>0,57<br>0,55<br>0,54","0,82<br>0,79<br>0,74<br>0,70<br>0,67<br>0,65<br>0,62<br>0,61<br>0,6<br>0,59","0,84<br>0,81<br>0,76<br>0,73<br>0,70<br>0,68<br>0,66<br>0,65<br>0,64<br>0,63","0,85<br>0,82<br>0,78<br>0,75<br>0,73<br>0,71<br>0,69<br>0,68<br>0,67<br>0,67","0,85<br>0,83<br>0,8<br>0,77<br>0,75<br>0,73<br>0,72<br>0,72<br>0,71<br>0,7","0,85<br>0,84<br>0,82<br>0,79<br>0,78<br>0,76<br>0,75<br>0,75<br>0,74<br>0,74","0,87<br>0,85<br>0,84<br>0,81<br>0,80<br>0,79<br>0,78<br>0,78<br>0,77<br>0,77"
"$_{4}$ ứng với d ≤ 0,8 m<br>4,0","0,34<br>0,25","0,31<br>0,24","0,29<br>0,23","0,27<br>0,22","0,26<br>0,21","0,25<br>0,20","0,24<br>0,19","0,23<br>0,18","0,22<br>0,17"
