"Loại móng, các đặc trưng của đất và tải trọng",Hệ số bổ sung điều kiện làm việc $_{c}$ ứng với chiều dài cọc — L ≥ 25,"Hệ số bổ sung điều kiện làm việc $_{c}$ ứng với chiều dài cọc — L < 25d và tỷ số — $\frac{H}{N}$< 0,1","Hệ số bổ sung điều kiện làm việc $_{c}$ ứng với chiều dài cọc — L < 25d và tỷ số — $\frac{H}{N}$= 0,4","Hệ số bổ sung điều kiện làm việc $_{c}$ ứng với chiều dài cọc — L < 25d và tỷ số — $\frac{H}{N}$= 0,6"
"1. Móng trụ giữa thông thường khi tính<br>a) Các cọc đơn chịu kéo<br>trong cát và cát pha<br>trong sét và sét pha khi $I_{L}$ ≤ 0,6<br>khi $I_{L}$ > 0,6<br>b) Các cọc đơn chịu nén và các cọc trong nhóm cọc chịu kéo<br>trong nền cát và cát pha<br>trong nền sét và sét pha khi $I_{L}$ ≤ 0,6<br>khi $I_{L}$ > 0,6","0,9<br>1,15<br>1,5<br>0,9<br>1,15<br>1,5","0,9<br>1,15<br>1,5<br>0,9<br>1,15<br>1,5","0,8<br>1,05<br>1,35<br>0,9<br>1,15<br>1,5","0,55<br>0,7<br>0,9<br>0,9<br>1,15<br>1,5"
"2. Móng dưới trụ neo, trụ góc chuyển tải vượt khẩu độ lớn khi tính:<br>a) Các cọc đơn chịu kéo<br>trong nền cát và cát pha<br>trong nền sét và sét pha<br>b) Các cọc trong nhóm cọc chịu kéo<br>trong nền cát và cát pha<br>trong nền sét và sét pha<br>c) Chịu nén ở mọi loại hình đất","0,8<br>1,0<br>0,8<br>1,0<br>1,0","0,8<br>1,0<br>0,8<br>1,0<br>1,0","0,7<br>0,9<br>0,8<br>1,0<br>1,0","0,6<br>0,6<br>0,8<br>1,0<br>1,0"
