STTSTTSTT,"Nội dung nhập, cập nhật dữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự ánNội dung nhập, cập nhậtNội dung nhập, cập nhật  dữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự ándữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự án","Nội dung nhập, cập nhật dữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự ánNội dung nhập, cập nhậtNội dung nhập, cập nhật  dữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự ándữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự án",Ghi chúGhi chúGhi chú
101010,Nhóm dự án:Nhóm dự án:Nhóm dự án:,Chọn trong các ô: Quan trọng quốc gia/A/B/CChọn trong các ô: Quan trọng quốc giaChọn trong các ô: Quan trọng quốc gia//AA//BB//CC,
111111,Loại dự án đầu tư xây dựngLoạiLoại  dựdự  ánán  đầuđầu  tưtư  xây dựngxây dựng,Chọn trong các loại dự án đầu tư xây dựng quy định tại Nghị định số 217/2026/NĐ-CP ngày 19/6/2026 của Chính phủ quy định chi tiết một số điều của Luật Xây dựng về quản lý hoạt động xây dựngChọn trong các loại dự án đầu tư xây dựng quy định tại Nghị định số Chọn trong các loại dự án đầu tư xây dựng quy định tại Nghị định số 217/2026/NĐ-CP217/2026/NĐ-CP ngày 19/6/2026 của Chính phủ quy định chi tiết một số điều của  ngày 19/6/2026 của Chính phủ quy định chi tiết một số điều của Luật Xây dựngLuật Xây dựng về quản lý hoạt động xây dựng về quản lý hoạt động xây dựng,
121212,Công trình thuộc dự ánCông trình thuộc dự ánCông trình thuộc dự án,"Chọn trong các loại công trình xây dựng quy định tại Nghị định quy định chi tiết một số nội dung về quản lý chất lượng, thi công xây dựng và bảo trì công trình xây dựng số 207/2026/NĐ-CP và Thông tư hướng dẫn Nghị định.ChọnChọn  trongtrong  cáccác  loạiloại  công trìnhcông trình  xâyxây  dựngdựng  quyquy  địnhđịnh  tại Nghịtại Nghị  địnhđịnh  quyquy  địnhđịnh  chichi  tiết mộttiết một  sốsố  nộinội  dungdung  vềvề  quảnquản  lý chất lượng, thi công xây dựng và bảo trì công trình xây dựng sốlý chất lượng, thi công xây dựng và bảo trì công trình xây dựng số  207207//20262026//NĐ-CPNĐ-CP  và Thôngvà Thông  tưtư  hướnghướng  dẫndẫn  Nghị định.Nghị định.",Các công trình xây dựng thuộc dự án đầu tư xây dựng được tự động khởi tạo mã định danh trong Hệ thống thông tin về hoạt động xây dựngCác công trình xây dựng thuộc dự án đầu tư xây dựng được tự động khởi tạoCác công trình xây dựng thuộc dự án đầu tư xây dựng được tự động khởi tạo  mãmã  địnhđịnh  danhdanh  trongtrong  HệHệ  thống thông tin về hoạt động xây dựngthống thông tin về hoạt động xây dựng
131313,Cấp công trình thuộc dự ánCấp công trình thuộc dự ánCấp công trình thuộc dự án,Chọn trong các ô: Đặc biệt/I/II/III/IVChọnChọn  trongtrong  cáccác  ô:ô:  Đặc biệtĐặc biệt//II//IIII//IIIIII//IVIV,
141414,Diện tích sử dụng đất của dự án (m2)DiệnDiện  tíchtích  sửsử  dụngdụng  đất của dự án (m2)đất của dự án (m2),[Nhập diện tích][Nhập diện tích][Nhập diện tích],
151515,Giá trị tổng mức đầu tư xây dựng của dự ánGiá trị tổng mức đầu tư xây dựng của dự ánGiá trị tổng mức đầu tư xây dựng của dự án,[Nhập giá trị][Nhập giá trị][Nhập giá trị],
161616,Chi phí đầu tư hạng mục công trình trình thẩm địnhChiChi  phíphí  đầuđầu  tưtư  hạng hạng mụcmục  côngcông  trìnhtrình  trình thẩm địnhtrình thẩm định,[Nhập giá trị][Nhập giá trị][Nhập giá trị],Trường hợp thẩm định đối với một hoặc một số công trình của dự ánTrường hợp thẩmTrường hợp thẩm  định đối với một hoặc một số công trình của dự ánđịnh đối với một hoặc một số công trình của dự án
171717,Nguồn vốn đầu tưNguồn vốn đầu tưNguồn vốn đầu tư,[Chọn trong các ô][Chọn trong các ô][Chọn trong các ô]Vốn đầu tư công/vốn chi thường xuyên từ ngân sách nhà nước/vốn ngân sách nhà nước khác/vốn khác/thực hiện theo phương thức PPPVốnVốn  đầuđầu  tưtư  côngcông//vốnvốn  chi thườngchi thường  xuyênxuyên  từtừ  ngânngân  sách nhàsách nhà  nướcnước//vốnvốn  ngânngân  sáchsách  nhà nước khácnhà nước khác//vốn khácvốn khác//thực hiện theo phương thức PPPthực hiện theo phương thức PPP,
181818,Thời gian thực hiện dự án; phân kỳ đầu tư (nếu có); thời hạn hoạt động của dự án (nếu có)Thời gian thực hiện dự án; phân kỳ đầu tư (nếu có); thời hạn hoạt động của dự án (nếu có)Thời gian thực hiện dự án; phân kỳ đầu tư (nếu có); thời hạn hoạt động của dự án (nếu có),[Chọn từ ngày/tháng/năm] đến [Chọn ngày/tháng/năm][Chọn[Chọn  từtừ  ngàyngày//thángtháng//năm]năm] đến [Chọđến [Chọn ngàyn ngày//thángtháng//năm]năm],
191919,"Quy chuẩn kỹ thuật, tiêu chuẩn áp dụngQuyQuy  chuẩnchuẩn  kỹkỹ  thuật, tiêu chuẩn áp dụngthuật, tiêu chuẩn áp dụng","[Đính kèm file danh mục quy chuẩn, tiêu chuẩn áp dụng] (file định dạng pdf/excel/word)[Đính kèm file danh [Đính kèm file danh mụcmục quy chuẩn, quy chuẩn,  tiêutiêu  chuẩnchuẩn  ápáp  dụng] dụng] (file(file  địnhđịnh  dạng pdfdạng pdf//excelexcel//word)word)",
202020,"Thông tin về tổ chức, cá nhân tham gia khảo sát, lập dự ánThôngThông  tintin  vềvề  tổtổ  chức, cá nhân tham gia khảo sát, lập dự ánchức, cá nhân tham gia khảo sát, lập dự án",,
