Quan niệm thiết kế và cấp độ dẻo,q,Ví dụ về dạng kết cấu
"Kết cấu tiêu tán năng lượng thấp, DCL","1,5","Công xôn, dầm, vòm 2 hoặc 3 khớp; đàn được ghép bằng các đinh chống cắt."
"Kết cấu tiêu tán năng lượng trung bình, DCM",2,"Tấm tường với các tấm cứng dán keo, được liên kết bằng đinh và bu lông; đàn được liên kết chốt hoặc bu lông. Kết cấu hỗn hợp bao gồm khung gỗ (chịu lực ngang) và tường chèn không chịu lực."
"Kết cấu tiêu tán năng lượng trung bình, DCM","2,5",Khung cổng siêu tĩnh với các liên kết chốt hoặc bu lông (xem 8.1.3(3)).
"Kết cấu tiêu tán năng lượng cao, DCH",3,"Tấm tường ghép bằng đinh với các tấm cứng được dán keo, được liên kết bằng đinh và bu lông; đàn có các liên kết đinh."
"Kết cấu tiêu tán năng lượng cao, DCH",4,Khung công siêu tĩnh với các liên kết bu lông hoặc chốt (xem 8.1.3(3)).
"Kết cấu tiêu tán năng lượng cao, DCH",5,"Tấm tường ghép bằng đinh với các tấm cứng ghép bằng đinh, được liên kết bằng đinh và bu lông."
