Dạng bộ phận phi kết cấu,$q_{a}$
"Lan can, phù điều dạng công xôn<br>Bảng quảng cáo, bảng tín hiệu<br>Ống khói, cột, bể chứa đặt lên cột làm việc như các công xôn không giằng trong đoạn có chiều dài lớn hơn 1/2 chiều cao tổng thể của chúng","1,0"
"Tường ngoài, tường trong<br>Vách ngăn, mặt tiền<br>Ống khói, cột, bể chứa đặt lên cột làm việc như các công xôn không giằng trong đoạn có chiều dài bé hơn 1/2 chiều cao tổng thể của chúng hoặc giằng hoặc neo với kết cấu ở ngay tại hoặc trên tâm khối lượng<br>Cấu kiện neo giữ cho tủ, giá sách đặt thường xuyên trên sàn nhà<br>Cấu kiện neo giữ cho trần giả và các thiết bị cố định nhẹ khác","2,0"
