Dạng kết cấu,Cấp độ dẻo — DCM,Cấp độ dẻo — DCH
"a), b), c) và d)",xem Bảng 6.2,xem Bảng 6.2
e) Kết cấu liên hợp,,
&nbsp;&nbsp;\- Tường liên hợp (dạng 1 và dạng 2),3 $\alpha_{u}$/$\alpha_{1}$,4 $\alpha_{u}$/$\alpha_{1}$
&nbsp;&nbsp;\- Tường liên hợp hoặc tường bê tông được liên kết bằng các dầm thép hoặc các dầm liên hợp (dạng 3),3 $\alpha_{u}$/$\alpha_{1}$,"4,5 $\alpha_{u}$/$\alpha_{1}$"
f) Vách cứng liên hợp dạng tấm thép bọc bê tông,3 $\alpha_{u}$/$\alpha_{1}$,4 $\alpha_{u}$/$\alpha_{1}$
