Cấp độ dẻo,q,$f_{y}$<br>N/$mm^{2}$,Giá trị giới hạn trên x/d
DCM,"1,5 < q ≤ 4",355,"0,27"
DCM,"1,5 < q ≤ 4",235,"0,36"
DCH,q > 4,355,"0,20"
DCH,q > 4,235,"0,27"
