Loại nền đất,S,$T_{B}$ (s),$T_{C}$ (s),$T_{D}$ (s)
A,"1,0","0,15","0,4","2,0"
B,"1,2","0,15","0,5","2,0"
C,"1,15","0,20","0,6","2,0"
D,"1,35","0,20","0,8","2,0"
E,"1,4","0,15","0,5","2,0"
