Cấp hậu quả<sup>1)</sup>,Cấp hậu quả<sup>1)</sup>,Công trình,Hệ số tầm quan trọng ү$_{I}$
C1,C1,Công trình nhà có vai trò quan trọng thứ yếu đến an toàn công cộng.,"0,8"
C2,C2,"Công trình nhà thông thường, không thuộc các cấp hậu quả khác","1,0"
C3,C3-a,Công trình nhà mà khả năng chịu động đất đóng vai trò quan trọng trên quan điểm hậu quả xảy ra khi sụp đổ.,"1,2"
C3,C3-b,Công trình nhà có vai trò quan trọng sống còn cho bảo vệ con người khi xảy ra động đất.,"1,4"
**<sup>1)</sup> Cấp hậu quả của công trình lấy theo [2].**,,,
