Loại nền đất,S,$T_{B}$ (s),$T_{C}$ (s),$T_{D}$ (s)
A,"1,0","0,05","0,25","1,2"
B,"1,35","0,05","0,25","1,2"
C,"1,5","0,10","0,25","1,2"
D,"1,8","0,10","0,30","1,2"
E,"1,6","0,05","0,25","1,2"
