Cấp độ dẻo — Giá trị tham chiếu của hệ số ứng xử (q),"DCM — q ≤ Từ 1,5 đến 2","DCM — Từ 1,5 đến 2 < q < 4",DCH — q > 4
"Tiết diện chữ I hoặc chữ H được bao bọc một phần hoặc tiết diện chữ I được bao bọc toàn phần, giới hạn phần vươn ra của bản cánh c/$t_{f}$:",20ε,14ε,9ε
"Tiết diện chữ nhật nhồi bê tông, giới hạn h/t:",52ε,38ε,24ε
"Tiết diện tròn nhồi bê tông, giới hạn d/t:",90$\epsilon^{2}$,85$\epsilon^{2}$,80$\epsilon^{2}$
