Điện áp danh định của hệ thống điện nhàV — Hệ thống ba pha,Điện áp danh định của hệ thống điện nhàV — Hệ thống một pha có điểm giữa,Điện áp chịu xung yêu cầu (a)kV — Quá điện áp cấp IV,Điện áp chịu xung yêu cầu (a)kV — Quá điện áp cấp III,Điện áp chịu xung yêu cầu (a)kV — Quá điện áp cấp II,Điện áp chịu xung yêu cầu (a)kV — Quá điện áp cấp I
-,120-240,4,"2,5","1,5","0,8"
230/400,-,6,4,"2,5","1,5"
400/690,-,8,6,4,"2,5"
1000,-,12,8,6,4
