"Điện áp danh định, U (V)<br>Sơ đồ nối đất",50< U ≤ 120,120< U ≤ 230,230< U ≤ 400,U >400
TT,"0,3","0,2","0,07","0,04"
TN-S,"0,8","0,4","0,2","0,1"
