Kích thước vật cần phân biệt<br>mm,Cấp công việc,Phân cấp,Tính chất thời gian của công việc,"Độ rọi nhỏ nhất cho phép khi chiếu sáng bằng đèn huỳnh quang, đèn compắc<br>lx"
"Từ 0,15 đến 0,30",I,a<br>b<br>c,Thường xuyên<br>Chu kì từng đợt<br>Không lâu,400<br>300<br>150
"Từ 0,30 đến 0,50",II,a<br>b<br>c,Thường xuyên<br>Chu kì từng đợt<br>Không lâu,300<br>200<br>100
"Trên 0,5",III,a<br>b<br>c,Thường xuyên<br>Chu kì từng đợt<br>Không lâu,150<br>100<br>75
